Intersection,Time,2016,2017,2018,Total
6,01:00 AM,4.57,,,4.57
6,01:00 PM,57.14,,,57.14
6,02:00 AM,2.93,,,2.93
6,02:00 PM,60.64,,,60.64
6,03:00 AM,1.71,,,1.71
6,03:00 PM,69.29,,,69.29
6,04:00 AM,1.57,,,1.57
6,04:00 PM,108.79,,,108.79
6,05:00 AM,11.29,,,11.29
6,05:00 PM,180.71,,,180.71
6,06:00 AM,29.93,,,29.93
6,06:00 PM,155.43,,,155.43
6,07:00 AM,77.71,,,77.71
6,07:00 PM,100.50,,,100.50
6,08:00 AM,175.14,,,175.14
6,08:00 PM,64.43,,,64.43
6,09:00 AM,127.07,,,127.07
6,09:00 PM,48.93,,,48.93
6,10:00 AM,73.43,,,73.43
6,10:00 PM,42.29,,,42.29
6,11:00 AM,61.36,,,61.36
6,11:00 PM,24.50,,,24.50
6,12:00 AM,13.14,,,13.14
6,12:00 PM,61.21,,,61.21
451,01:00 AM,3.00,1.25,2.50,2.36
451,01:00 PM,16.00,15.50,16.00,15.86
451,02:00 AM,0.00,1.25,1.50,0.79
451,02:00 PM,15.33,19.75,11.00,15.36
451,03:00 AM,1.33,2.00,2.50,1.86
451,03:00 PM,24.33,24.25,21.50,23.50
451,04:00 AM,1.67,1.75,3.50,2.21
451,04:00 PM,38.67,38.00,40.50,39.00
451,05:00 AM,6.33,7.25,3.50,5.79
451,05:00 PM,51.67,61.25,43.50,52.07
451,06:00 AM,13.67,12.00,8.50,11.71
451,06:00 PM,37.33,61.50,41.50,45.43
451,07:00 AM,23.33,39.75,24.00,28.21
451,07:00 PM,30.67,32.25,23.00,28.93
451,08:00 AM,34.67,61.50,23.00,39.00
451,08:00 PM,22.00,24.25,19.00,21.79
451,09:00 AM,21.00,33.75,26.00,26.07
451,09:00 PM,10.67,20.50,11.50,13.71
451,10:00 AM,16.67,21.25,12.00,16.64
451,10:00 PM,9.00,13.00,7.50,9.71
451,11:00 AM,14.67,13.75,8.50,12.64
451,11:00 PM,5.33,9.75,7.00,7.07
451,12:00 AM,3.67,9.00,6.00,5.86
451,12:00 PM,14.67,15.50,11.00,13.86
601,01:00 AM,1.17,2.00,3.00,1.93
601,01:00 PM,11.00,13.25,10.75,11.57
601,02:00 AM,0.83,1.25,2.25,1.36
601,02:00 PM,10.50,14.25,7.75,10.79
601,03:00 AM,0.33,0.25,1.25,0.57
601,03:00 PM,19.33,21.00,19.75,19.93
601,04:00 AM,1.33,1.50,1.50,1.43
601,04:00 PM,25.67,35.75,23.50,27.93
601,05:00 AM,4.17,5.25,4.50,4.57
601,05:00 PM,35.83,46.75,36.50,39.14
601,06:00 AM,11.50,11.25,11.50,11.43
601,06:00 PM,26.50,44.25,30.00,32.57
601,07:00 AM,17.83,35.00,18.50,22.93
601,07:00 PM,18.50,26.00,22.75,21.86
601,08:00 AM,23.83,54.00,25.50,32.93
601,08:00 PM,15.67,17.25,16.75,16.43
601,09:00 AM,20.17,35.00,24.75,25.71
601,09:00 PM,8.17,12.25,10.25,9.93
601,10:00 AM,10.00,18.75,14.25,13.71
601,10:00 PM,9.33,6.25,5.00,7.21
601,11:00 AM,9.00,11.50,12.00,10.57
601,11:00 PM,5.33,7.75,6.75,6.43
601,12:00 AM,4.00,7.50,6.50,5.71
601,12:00 PM,11.33,12.50,10.50,11.43
1071,01:00 AM,0.67,1.00,0.00,0.57
1071,01:00 PM,5.33,7.00,7.00,6.29
1071,02:00 AM,0.67,0.75,0.50,0.64
1071,02:00 PM,6.17,6.50,7.00,6.50
1071,03:00 AM,0.50,0.25,0.00,0.29
1071,03:00 PM,10.50,8.50,7.00,8.93
1071,04:00 AM,0.83,0.75,0.50,0.71
1071,04:00 PM,11.17,15.25,6.00,10.86
1071,05:00 AM,3.33,2.75,6.50,4.07
1071,05:00 PM,15.83,20.75,9.50,15.43
1071,06:00 AM,3.83,6.00,10.00,6.21
1071,06:00 PM,12.50,12.50,4.00,10.07
1071,07:00 AM,8.67,9.50,9.50,9.14
1071,07:00 PM,8.83,11.50,7.00,9.07
1071,08:00 AM,14.00,17.75,14.50,15.21
1071,08:00 PM,5.83,9.00,2.50,5.79
1071,09:00 AM,9.50,10.00,13.00,10.64
1071,09:00 PM,6.17,5.25,6.00,5.86
1071,10:00 AM,7.17,6.50,6.50,6.79
1071,10:00 PM,5.33,3.00,4.50,4.43
1071,11:00 AM,5.00,5.75,8.00,6.07
1071,11:00 PM,2.83,1.75,1.50,2.14
1071,12:00 AM,2.67,2.75,1.00,2.21
1071,12:00 PM,4.83,5.00,4.50,4.79
