Date,Time,Date Time,Direction,Intersection,Bike Traffic,
6/8/2016,12:00 AM,6/8/2016 12:00 AM,Southbound,6,7,
6/8/2016,01:00 AM,6/8/2016 01:00 AM,Southbound,6,4,
6/8/2016,02:00 AM,6/8/2016 02:00 AM,Southbound,6,0,
6/8/2016,03:00 AM,6/8/2016 03:00 AM,Southbound,6,0,
6/8/2016,04:00 AM,6/8/2016 04:00 AM,Southbound,6,3,
6/8/2016,05:00 AM,6/8/2016 05:00 AM,Southbound,6,13,
6/8/2016,06:00 AM,6/8/2016 06:00 AM,Southbound,6,34,
6/8/2016,07:00 AM,6/8/2016 07:00 AM,Southbound,6,85,
6/8/2016,08:00 AM,6/8/2016 08:00 AM,Southbound,6,180,
6/8/2016,09:00 AM,6/8/2016 09:00 AM,Southbound,6,150,
6/8/2016,10:00 AM,6/8/2016 10:00 AM,Southbound,6,77,
6/8/2016,11:00 AM,6/8/2016 11:00 AM,Southbound,6,58,
6/8/2016,12:00 PM,6/8/2016 12:00 PM,Southbound,6,48,
6/8/2016,01:00 PM,6/8/2016 01:00 PM,Southbound,6,50,
6/8/2016,02:00 PM,6/8/2016 02:00 PM,Southbound,6,49,
6/8/2016,03:00 PM,6/8/2016 03:00 PM,Southbound,6,71,
6/8/2016,04:00 PM,6/8/2016 04:00 PM,Southbound,6,129,
6/8/2016,05:00 PM,6/8/2016 05:00 PM,Southbound,6,210,
6/8/2016,06:00 PM,6/8/2016 06:00 PM,Southbound,6,177,
6/8/2016,07:00 PM,6/8/2016 07:00 PM,Southbound,6,106,
6/8/2016,08:00 PM,6/8/2016 08:00 PM,Southbound,6,73,
6/8/2016,09:00 PM,6/8/2016 09:00 PM,Southbound,6,56,
6/8/2016,10:00 PM,6/8/2016 10:00 PM,Southbound,6,25,
6/8/2016,11:00 PM,6/8/2016 11:00 PM,Southbound,6,11,
6/9/2016,12:00 AM,6/9/2016 12:00 AM,Southbound,6,19,
6/9/2016,01:00 AM,6/9/2016 01:00 AM,Southbound,6,2,
6/9/2016,02:00 AM,6/9/2016 02:00 AM,Southbound,6,1,
6/9/2016,03:00 AM,6/9/2016 03:00 AM,Southbound,6,0,
6/9/2016,04:00 AM,6/9/2016 04:00 AM,Southbound,6,2,
6/9/2016,05:00 AM,6/9/2016 05:00 AM,Southbound,6,11,
6/9/2016,06:00 AM,6/9/2016 06:00 AM,Southbound,6,43,
6/9/2016,07:00 AM,6/9/2016 07:00 AM,Southbound,6,82,
6/9/2016,08:00 AM,6/9/2016 08:00 AM,Southbound,6,213,
6/9/2016,09:00 AM,6/9/2016 09:00 AM,Southbound,6,139,
6/9/2016,10:00 AM,6/9/2016 10:00 AM,Southbound,6,80,
6/9/2016,11:00 AM,6/9/2016 11:00 AM,Southbound,6,57,
6/9/2016,12:00 PM,6/9/2016 12:00 PM,Southbound,6,62,
6/9/2016,01:00 PM,6/9/2016 01:00 PM,Southbound,6,46,
6/9/2016,02:00 PM,6/9/2016 02:00 PM,Southbound,6,58,
6/9/2016,03:00 PM,6/9/2016 03:00 PM,Southbound,6,72,
6/9/2016,04:00 PM,6/9/2016 04:00 PM,Southbound,6,140,
6/9/2016,05:00 PM,6/9/2016 05:00 PM,Southbound,6,218,
6/9/2016,06:00 PM,6/9/2016 06:00 PM,Southbound,6,195,
6/9/2016,07:00 PM,6/9/2016 07:00 PM,Southbound,6,98,
6/9/2016,08:00 PM,6/9/2016 08:00 PM,Southbound,6,58,
6/9/2016,09:00 PM,6/9/2016 09:00 PM,Southbound,6,53,
6/9/2016,10:00 PM,6/9/2016 10:00 PM,Southbound,6,39,
6/9/2016,11:00 PM,6/9/2016 11:00 PM,Southbound,6,13,
6/10/2016,12:00 AM,6/10/2016 12:00 AM,Southbound,6,15,
6/10/2016,01:00 AM,6/10/2016 01:00 AM,Southbound,6,3,
6/10/2016,02:00 AM,6/10/2016 02:00 AM,Southbound,6,4,
6/10/2016,03:00 AM,6/10/2016 03:00 AM,Southbound,6,3,
6/10/2016,04:00 AM,6/10/2016 04:00 AM,Southbound,6,2,
6/10/2016,05:00 AM,6/10/2016 05:00 AM,Southbound,6,10,
6/10/2016,06:00 AM,6/10/2016 06:00 AM,Southbound,6,32,
6/10/2016,07:00 AM,6/10/2016 07:00 AM,Southbound,6,76,
6/10/2016,08:00 AM,6/10/2016 08:00 AM,Southbound,6,177,
6/10/2016,09:00 AM,6/10/2016 09:00 AM,Southbound,6,126,
6/10/2016,10:00 AM,6/10/2016 10:00 AM,Southbound,6,60,
